"shoulder","belly","loin","ham","other","simulation","carcass"
32734,89834,64132,75242,285976,4,25
477,1306,888,1019,4006,4,26
290,754,605,660,2562,4,27
495,1530,1085,1304,4805,4,28
14,39,30,38,126,4,29
3005,8104,5809,6727,25514,4,30
3199,8621,6141,7251,27673,4,31
32369,89525,64113,75413,286456,4,32
4103,11218,8194,9424,35955,4,33
466,1251,972,1107,4184,4,34
32730,89713,64028,75583,285729,4,35
3233,8647,6411,7401,28227,4,36
2978,8190,5880,6927,26052,4,37
2620,7175,5093,6129,23065,4,38
2367,6671,4595,5634,21199,4,39
40,102,64,61,312,4,40
3137,8575,6239,7087,27246,4,41
2552,6938,4902,5790,22067,4,42
4314,11850,8494,10096,37818,4,43
35,69,63,77,247,4,44
510,1369,1013,1185,4421,4,45
3387,9488,6754,7961,29674,4,46
4254,11770,8484,9748,37643,4,47
26,70,42,74,245,4,48
17,52,38,36,155,4,49
3251,8699,6425,7425,28004,4,50
402,1079,869,979,3629,5,1
360,982,711,823,3147,5,2
181,516,361,432,1652,5,3
382,987,721,829,3049,5,4
254,780,547,687,2507,5,5
392,1116,755,896,3328,5,6
1614,4489,3265,3812,14157,5,7
261,700,473,584,2141,5,8
402,1133,815,1044,3718,5,9
492,1429,1021,1233,4465,5,10
362,1020,655,805,3077,5,11
1559,4231,2967,3524,13284,5,12
212,576,380,494,1745,5,13
370,843,608,766,2685,5,14
164,430,334,346,1417,5,15
146,392,250,290,1099,5,16
380,993,704,807,3224,5,17
1468,4120,2954,3488,13282,5,18
1515,3799,2862,3340,12855,5,19
297,848,632,764,2850,5,20
248,764,493,578,2185,5,21
395,1037,746,831,3243,5,22
153,493,334,401,1431,5,23
1450,4137,2994,3544,13232,5,24
1570,4238,2967,3546,13486,5,25
462,1241,886,967,3945,5,26
371,938,728,877,3194,5,27
1608,4519,3105,3689,13902,5,28
1431,3987,2930,3298,13157,5,29
304,882,583,730,2734,5,30
410,1213,803,983,3912,5,31
288,794,560,667,2687,5,32
124,345,221,296,1167,5,33
314,759,567,606,2420,5,34
395,1097,717,953,3527,5,35
255,732,509,629,2349,5,36
279,756,577,703,2498,5,37
144,378,258,317,1218,5,38
1483,3996,2780,3366,12715,5,39
128,389,265,343,1196,5,40
297,947,661,750,2726,5,41
552,1531,1101,1230,4671,5,42
340,879,658,764,2701,5,43
175,467,342,370,1416,5,44
176,515,368,417,1627,5,45
1868,5063,3570,4236,16274,5,46
283,790,530,687,2420,5,47
365,987,724,790,3211,5,48
308,812,591,698,2672,5,49
294,798,548,668,2620,5,50
502,1349,967,1146,4433,6,1
91,265,196,189,839,6,2
609,1663,1169,1440,5270,6,3
87,266,164,193,707,6,4
113,331,261,293,1056,6,5
1494,4057,3004,3386,12907,6,6
678,1882,1336,1531,5703,6,7
9087,24591,17560,20576,78322,6,8
1713,4815,3289,3804,14552,6,9
237,676,497,618,2098,6,10
8847,23784,17286,19951,76803,6,11
8259,23193,16612,19277,73660,6,12
697,1846,1235,1586,6079,6,13
2231,6436,4505,5203,19718,6,14
766,1980,1552,1683,6530,6,15
591,1600,1187,1354,5058,6,16
8764,24189,17299,20093,76548,6,17
220,600,419,506,1872,6,18
63,161,107,153,554,6,19
576,1529,1094,1303,4931,6,20
9000,24368,17371,20475,77813,6,21
2189,5985,4296,5215,19365,6,22
195,473,374,398,1582,6,23
55,176,128,122,494,6,24
661,1963,1353,1598,6044,6,25
8880,24655,17538,20478,78016,6,26
585,1721,1133,1379,5399,6,27
1666,4419,3134,3784,14197,6,28
255,595,462,499,1912,6,29
2242,5975,4201,4995,19394,6,30
570,1512,1186,1282,4855,6,31
2124,5691,4132,4742,18215,6,32
699,1955,1402,1620,6308,6,33
8817,24176,17361,20268,77536,6,34
709,1757,1301,1493,5731,6,35
513,1353,1041,1126,4494,6,36
9078,25082,17941,21101,80933,6,37
596,1626,1177,1413,5220,6,38
648,1697,1223,1351,5400,6,39
535,1510,1109,1277,4879,6,40
594,1620,1149,1439,5540,6,41
565,1563,1081,1314,4846,6,42
580,1767,1239,1477,5492,6,43
1527,4313,2978,3708,13504,6,44
1670,4460,3195,3723,14247,6,45
8519,23611,16984,19923,75182,6,46
612,1742,1229,1393,5487,6,47
213,579,462,519,1925,6,48
529,1455,1058,1244,4627,6,49
621,1765,1276,1483,5431,6,50
552,1500,1026,1254,4825,7,1
208,636,454,535,2062,7,2
655,1740,1226,1435,5545,7,3
261,711,505,614,2305,7,4
1541,4286,2986,3613,13476,7,5
570,1623,1171,1322,5199,7,6
206,611,430,537,2007,7,7
1498,3990,2869,3454,12753,7,8
343,901,680,789,3024,7,9
928,2502,1754,2118,7916,7,10
3033,8138,5817,6744,25559,7,11
945,2673,1981,2322,8616,7,12
1490,4008,2866,3279,12709,7,13
292,870,625,723,2817,7,14
2928,8065,5839,6784,25741,7,15
490,1413,1023,1151,4380,7,16
2482,6679,4751,5529,21017,7,17
2872,7626,5510,6577,24821,7,18
290,776,598,690,2632,7,19
286,754,560,579,2466,7,20
2325,6667,4830,5477,20940,7,21
1381,3911,2736,3203,12319,7,22
2169,6040,4572,5186,19699,7,23
604,1616,1198,1419,5424,7,24
293,804,581,657,2525,7,25
2356,6394,4698,5486,20831,7,26
1130,3208,2335,2640,10153,7,27
2888,8166,5842,6709,26217,7,28
1553,4465,3168,3642,14178,7,29
1519,4203,2892,3550,13338,7,30
1045,2883,2004,2367,9135,7,31
2967,7978,5793,6700,25860,7,32
2851,7890,5733,6813,25518,7,33
2255,6184,4467,5279,19860,7,34
263,703,526,688,2328,7,35
666,1675,1293,1430,5527,7,36
273,834,613,687,2438,7,37
2766,7403,5413,6418,24123,7,38
1451,3975,2797,3306,12809,7,39
1579,4545,3064,3681,14115,7,40
269,729,547,611,2342,7,41
3091,8257,5851,6937,26241,7,42
2838,7880,5513,6536,25170,7,43
257,734,503,629,2371,7,44
251,623,512,543,2101,7,45
2203,6100,4274,5022,19397,7,46
889,2323,1813,2094,7695,7,47
1040,2979,2021,2444,9365,7,48
980,2664,2029,2311,8716,7,49
452,1281,894,1033,4126,7,50
5813,16199,11578,13475,52108,8,1
655,1866,1288,1533,5926,8,2
637,1768,1181,1470,5607,8,3
6047,16522,11842,13632,52601,8,4
1088,2824,2055,2399,9179,8,5
158,382,327,317,1338,8,6
5821,16025,11541,13463,50994,8,7
5583,15124,11001,12716,48899,8,8
738,1950,1406,1649,6068,8,9
5795,16053,11576,13408,51167,8,10
5751,15954,11384,13195,50604,8,11
5445,14741,10582,12529,47712,8,12
717,1863,1304,1462,5741,8,13
780,2147,1534,1789,6892,8,14
674,1945,1297,1616,6126,8,15
5779,15805,11393,13235,50082,8,16
684,1911,1430,1653,6270,8,17
800,2230,1619,1948,7225,8,18
6031,16525,11646,13908,52574,8,19
974,2641,2049,2345,8663,8,20
1444,4147,2897,3418,12982,8,21
123,293,204,278,935,8,22
1150,3078,2191,2539,9937,8,23
1004,2818,2099,2380,9139,8,24
653,1978,1411,1652,6160,8,25
748,2050,1399,1737,6468,8,26
749,2137,1481,1760,6756,8,27
181,479,338,395,1632,8,28
892,2450,1793,2023,8161,8,29
681,1813,1268,1532,5699,8,30
5934,15816,11592,13516,50945,8,31
5760,15770,11280,13077,50068,8,32
854,2363,1675,1917,7297,8,33
872,2455,1653,2054,7820,8,34
729,2025,1467,1732,6293,8,35
5562,15537,11256,13170,49410,8,36
124,324,230,263,1054,8,37
6012,15991,11555,13483,51354,8,38
934,2617,1811,2185,8211,8,39
725,2035,1408,1687,6273,8,40
714,1886,1407,1637,6294,8,41
771,2097,1444,1826,6755,8,42
787,2222,1599,1800,6997,8,43
5620,15425,11079,12833,49620,8,44
1033,2633,1962,2336,8794,8,45
5426,14634,10615,12290,47376,8,46
794,2188,1572,1910,7116,8,47
1368,3654,2588,3093,11650,8,48
868,2469,1715,2067,8203,8,49
5855,16059,11536,13290,51095,8,50
567,1618,1105,1337,5004,9,1
713,1865,1392,1605,6285,9,2
815,2233,1622,1884,7157,9,3
6972,19106,13605,16205,60695,9,4
6913,18972,13267,15934,60245,9,5
790,2280,1602,1864,7047,9,6
549,1496,1089,1310,4898,9,7
7282,19581,14041,16657,63001,9,8
2928,8095,5778,6709,25943,9,9
478,1325,957,1128,4397,9,10
784,2217,1608,1808,6868,9,11
498,1423,953,1141,4394,9,12
2817,7686,5617,6505,24718,9,13
576,1558,1026,1273,4670,9,14
692,1960,1404,1647,6057,9,15
7341,20081,14244,16806,63009,9,16
813,2265,1601,1818,6984,9,17
6737,17959,13015,15228,58122,9,18
597,1567,1099,1327,4957,9,19
2785,7452,5341,6263,24147,9,20
540,1474,1009,1266,4743,9,21
7055,19594,13880,16298,62170,9,22
533,1455,1027,1254,4740,9,23
2816,7686,5666,6643,25122,9,24
3255,8936,6127,7194,27711,9,25
470,1466,990,1197,4506,9,26
6931,19382,13555,15775,61293,9,27
3243,8595,6175,7345,28023,9,28
472,1368,949,1068,4251,9,29
7205,19586,14168,16459,62924,9,30
7215,19983,14296,16383,62377,9,31
834,2176,1568,1865,7240,9,32
675,1753,1259,1480,5621,9,33
7192,19313,13883,16259,60954,9,34
2718,7426,5331,6450,23940,9,35
776,2166,1535,1743,6757,9,36
7008,19496,13705,16249,62113,9,37
723,2043,1392,1679,6371,9,38
7452,20665,14649,17240,64568,9,39
520,1497,1028,1274,4839,9,40
926,2464,1750,2027,7943,9,41
519,1424,1035,1273,4498,9,42
779,2108,1490,1741,6731,9,43
495,1460,1017,1157,4424,9,44
2725,7655,5471,6397,23974,9,45
582,1619,1203,1334,5326,9,46
738,1996,1383,1726,6374,9,47
834,2368,1804,1994,7414,9,48
553,1451,1118,1247,4860,9,49
463,1296,955,1040,4101,9,50
1280,3485,2447,2944,11183,10,1
1495,4051,3024,3485,13483,10,2
9956,27137,19485,22699,86779,10,3
349,923,678,764,3052,10,4
