"simulation","nSwine","n.falseneg","p.falseneg","n.zeros","n.nzeros","p.carc"
1,1e+06,0,0,0,0,NA
2,1e+06,0,0,0,0,NA
3,1e+06,0,0,0,0,NA
4,1e+06,0,0,0,0,NA
5,1e+06,0,0,0,0,NA
6,1e+06,0,0,0,0,NA
7,1e+06,0,0,0,0,NA
8,1e+06,0,0,0,0,NA
9,1e+06,0,0,0,0,NA
10,1e+06,0,0,0,0,NA
